Disease,Description,Disease Slug,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Description (ID),Disease (ID),Precaution_1 (ID),Precaution_2 (ID),Precaution_3 (ID),Precaution_4 (ID)
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,drug-reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh minum obat. ADR dapat terjadi setelah dosis tunggal atau pemberian obat yang berkepanjangan atau hasil dari kombinasi dua atau lebih obat.,Reaksi obat,Hentikan iritasi,Konsultasikan dengan rumah sakit terdekat,berhenti minum obat,menindaklanjuti
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,Penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan oleh gigitan nyamuk Anopheles atau oleh jarum atau transfusi yang terkontaminasi. Falciparum malaria adalah tipe yang paling mematikan.,Malaria,Konsultasikan dengan rumah sakit terdekat,Hindari makanan berminyak,Hindari Makanan Non Veget,Jauhkan nyamuk
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",allergy,apply calamine,cover area with bandage, ,use ice to compress itching,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat mencakup makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah membuat Anda tetap sehat dengan melawan patogen berbahaya.",Alergi,Terapkan Calamine,Area penutup dengan perban,,Gunakan es untuk mengompres gatal
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Hipotiroidisme, juga disebut tiroid yang kurang aktif atau tiroid rendah, adalah gangguan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.",Hipotiroidisme,mengurangi stres,latihan,makan yang sehat,tidur nyenyak
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Psoriasis adalah kelainan kulit umum yang membentuk tambalan tebal, merah, bergelombang yang ditutupi dengan sisik keperakan. Mereka dapat muncul di mana saja, tetapi sebagian besar muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak dapat diturunkan dari orang ke orang ke orang. Terkadang terjadi pada anggota keluarga yang sama.",Psoriasis,Cuci tangan dengan air sabun hangat,Hentikan Pendarahan Menggunakan Tekanan,Konsultasikan dengan dokter,mandi garam
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Penyakit refluks gastroesofagus, atau GERD, adalah kelainan pencernaan yang mempengaruhi sfingter esofagus bawah (LES), cincin otot antara kerongkongan dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan yang disebabkan oleh GERD.",GERD,Hindari makanan pedas berlemak,Hindari berbaring setelah makan,mempertahankan berat badan yang sehat,latihan
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",chronic-cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Penyakit kolestatik kronis, apakah terjadi pada masa bayi, masa kanak -kanak atau dewasa, ditandai dengan transportasi asam empedu yang rusak dari hati ke usus, yang disebabkan oleh kerusakan primer pada epitel empedu dalam banyak kasus dalam kebanyakan kasus",Kolestasis kronis,Mandi dingin,obat anti gatal,Konsultasikan dengan dokter,makan yang sehat
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,hepatitis-a,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan hati Anda untuk berfungsi.,Hepatitis A,Konsultasikan dengan rumah sakit terdekat,Cuci tangan melalui,Hindari makanan pedas berlemak,pengobatan
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Osteoartritis adalah bentuk artritis yang paling umum, mempengaruhi jutaan orang di seluruh dunia. Itu terjadi ketika tulang rawan pelindung yang bantalan ujung tulang Anda lelah seiring waktu.",Osteoarthrissa,parasetamol,Konsultasikan dengan rumah sakit terdekat,menindaklanjuti,mandi garam
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,vertigo-paroymsal--positional-vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,Vertigo posisi paroksismal jinak (BPPV) adalah salah satu penyebab vertigo yang paling umum - sensasi tiba -tiba yang Anda putar atau bagian dalam kepala Anda berputar. Vertigo posisi paroksismal jinak menyebabkan episode singkat pusing ringan hingga intens.,(Bergo) kehadiran,berbaring,Hindari perubahan tubuh yang tiba -tiba,Hindari gerakan kepala yang tiba -tiba,santai
