Symptom,weight,Clean Symptom,Clean Symptom (ID)
itching,1,itching,gatal
skin_rash,3,skin rash,ruam kulit
nodal_skin_eruptions,4,nodal skin eruptions,letusan kulit nodal
continuous_sneezing,4,continuous sneezing,bersin terus menerus
shivering,5,shivering,gemetaran
chills,3,chills,panas dingin
joint_pain,3,joint pain,nyeri sendi
stomach_pain,5,stomach pain,sakit perut
acidity,3,acidity,keasaman
ulcers_on_tongue,4,ulcers on tongue,Ulkus di lidah
muscle_wasting,3,muscle wasting,pemborosan otot
vomiting,5,vomiting,muntah
burning_micturition,6,burning micturition,Membakar Micturition
spotting_urination,6,spotting urination,melihat buang air kecil
fatigue,4,fatigue,kelelahan
weight_gain,3,weight gain,kenaikan berat badan
anxiety,4,anxiety,kecemasan
cold_hands_and_feets,5,cold hands and feets,Tangan dan Feet Dingin
mood_swings,3,mood swings,Perubahan suasana hati
weight_loss,3,weight loss,penurunan berat badan
restlessness,5,restlessness,kegelisahan
lethargy,2,lethargy,kelesuan
patches_in_throat,6,patches in throat,tambalan di tenggorokan
irregular_sugar_level,5,irregular sugar level,kadar gula tidak teratur
cough,4,cough,batuk
high_fever,7,high fever,demam tinggi
sunken_eyes,3,sunken eyes,Mata cekung
breathlessness,4,breathlessness,sesak napas
sweating,3,sweating,berkeringat
dehydration,4,dehydration,dehidrasi
indigestion,5,indigestion,gangguan pencernaan
headache,3,headache,sakit kepala
yellowish_skin,3,yellowish skin,kulit kekuningan
dark_urine,4,dark urine,urin gelap
nausea,5,nausea,mual
loss_of_appetite,4,loss of appetite,kehilangan selera makan
pain_behind_the_eyes,4,pain behind the eyes,Nyeri Di Balik Mata
back_pain,3,back pain,sakit punggung
constipation,4,constipation,sembelit
abdominal_pain,4,abdominal pain,sakit perut
diarrhoea,6,diarrhoea,diare
mild_fever,5,mild fever,demam ringan
yellow_urine,4,yellow urine,urin kuning
yellowing_of_eyes,4,yellowing of eyes,menguning mata
acute_liver_failure,6,acute liver failure,Kegagalan hati akut
fluid_overload,6,fluid overload,kelebihan cairan
swelling_of_stomach,7,swelling of stomach,pembengkakan perut
swelled_lymph_nodes,6,swelled lymph nodes,Kelenjar getah bening yang bengkak
malaise,6,malaise,rasa tidak enak
blurred_and_distorted_vision,5,blurred and distorted vision,penglihatan kabur dan terdistorsi
phlegm,5,phlegm,dahak
throat_irritation,4,throat irritation,iritasi tenggorokan
redness_of_eyes,5,redness of eyes,kemerahan mata
sinus_pressure,4,sinus pressure,tekanan sinus
runny_nose,5,runny nose,pilek
congestion,5,congestion,penyumbatan
chest_pain,7,chest pain,sakit dada
weakness_in_limbs,7,weakness in limbs,Kelemahan dalam anggota badan
fast_heart_rate,5,fast heart rate,detak jantung cepat
pain_during_bowel_movements,5,pain during bowel movements,rasa sakit selama buang air besar
