Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Disease Slug
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,drug-reaction
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,malaria
Allergy,apply calamine,cover area with bandage,,use ice to compress itching,allergy
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,hypothyroidism
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,psoriasis
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,gerd
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,chronic-cholestasis
hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,hepatitis-a
Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,osteoarthristis
(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,vertigo-paroymsal--positional-vertigo
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,hypoglycemia
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,acne
Diabetes ,have balanced diet,exercise,consult doctor,follow up,diabetes-
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,impetigo
Hypertension ,meditation,salt baths,reduce stress,get proper sleep,hypertension-
Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,peptic-ulcer-diseae
Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,dimorphic-hemmorhoidspiles
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,common-cold
Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,chicken-pox
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,cervical-spondylosis
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,hyperthyroidism
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,urinary-tract-infection
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,varicose-veins
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,aids
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,paralysis-brain-hemorrhage
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,typhoid
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,hepatitis-b
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,fungal-infection
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,hepatitis-c
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,migraine
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,bronchial-asthma
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,alcoholic-hepatitis
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,jaundice
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,hepatitis-e
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,dengue
Hepatitis D,consult doctor,medication,eat healthy,follow up,hepatitis-d
Heart attack,call ambulance,chew or swallow asprin,keep calm,,heart-attack
Pneumonia,consult doctor,medication,rest,follow up,pneumonia
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,arthritis
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,gastroenteritis
Tuberculosis,cover mouth,consult doctor,medication,rest,tuberculosis
