TEXT,LABEL
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
chills fatigue cough high fever sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,diabetes
skin rash pus filled pimples blackheads scurring,acne
itching vomiting yellowish skin nausea loss of appetite yellowing of eyes,chronic-cholestasis
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
vomiting breathlessness sweating chest pain,heart-attack
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,chronic-cholestasis
itching skin rash stomach pain burning micturition spotting urination,drug-reaction
muscle weakness stiff neck swelling joints movement stiffness painful walking,arthritis
muscle wasting high fever extra marital contacts,aids
headache dizziness loss of balance lack of concentration,hypertension-
back pain weakness in limbs neck pain dizziness loss of balance,cervical-spondylosis
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
skin rash pus filled pimples blackheads scurring,acne
chills fatigue cough high fever breathlessness sweating phlegm chest pain fast heart rate rusty sputum,pneumonia
chills fatigue cough high fever breathlessness sweating malaise chest pain fast heart rate rusty sputum,pneumonia
continuous sneezing fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
stomach pain acidity ulcers on tongue cough chest pain,gerd
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos belly pain,typhoid
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,hepatitis-b
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,malaria
skin rash joint pain silver like dusting small dents in nails inflammatory nails,psoriasis
joint pain vomiting fatigue yellowish skin dark urine loss of appetite abdominal pain yellowing of eyes,hepatitis-d
joint pain neck pain knee pain hip joint pain swelling joints painful walking,osteoarthristis
headache chest pain loss of balance lack of concentration,hypertension-
vomiting headache nausea spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
back pain weakness in limbs neck pain loss of balance,cervical-spondylosis
chills vomiting fatigue high fever headache nausea constipation diarrhoea toxic look typhos belly pain,typhoid
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,tuberculosis
continuous sneezing shivering chills,allergy
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,common-cold
fatigue yellowish skin nausea loss of appetite family history,hepatitis-c
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,pneumonia
vomiting sunken eyes dehydration diarrhoea,gastroenteritis
skin rash blister red sore around nose yellow crust ooze,impetigo
joint pain vomiting yellowish skin dark urine nausea loss of appetite abdominal pain diarrhoea mild fever yellowing of eyes muscle pain,hepatitis-a
vomiting indigestion loss of appetite abdominal pain passage of gases,peptic-ulcer-diseae
joint pain vomiting high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,hepatitis-e
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
itching skin rash fatigue lethargy high fever headache mild fever swelled lymph nodes malaise red spots over body,chicken-pox
weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,hypothyroidism
itching stomach pain burning micturition spotting urination,drug-reaction
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,jaundice
stomach pain acidity ulcers on tongue vomiting cough chest pain,gerd
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,varicose-veins
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,psoriasis
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,hypoglycemia
patches in throat high fever extra marital contacts,aids
skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,dengue
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
fatigue cough high fever breathlessness family history mucoid sputum,bronchial-asthma
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,migraine
vomiting headache spinning movements loss of balance unsteadiness,vertigo-paroymsal--positional-vertigo
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen fluid overload,alcoholic-hepatitis
skin rash high fever blister red sore around nose yellow crust ooze,impetigo
